yyyy,mm,Location,Zone,,Fish,number,size,largest.dhufish,largest.dhufish.kg,Reference
1954,,Rottnest Island area (8 miles north),,boat,bald-faced groper,3,part of 245 lb catch in 5 hours,,0,19540112WA
1954,6,"Rottnest Island, north side",,shore?,blue groper,1,52.5 lb,,0,19540603WA
1954,,Marmion Reef,,spearfish,crayfish,1,8.5 lb,,0,19541221WA
1954,,Rottnest Island,,spearfish,groper,3,largest 44.5lb,,0,19540204WA
1954,,"miles off West End, Rottnest Is",1,boat,jewfish,43 in four days,total about 450 lb,,0,19540415WA
1954,,off Scarborough,,boat,jewfish,3,18 lb,18,8.164656,19540527WA
1954,,Rottnest Island,4,boat,jewfish,1,38 lb,38,17.236496,19540415WA
1954,,Rottnest Island,4,boat,jewfish,2,45 lb & 40 lb,45,20.41164,19540624WA
1954,,Rottnest Island area (8 miles north),4,boat,jewfish,14,"18 lb, 38 lb, 35 lb, 32 lb (part of 245 lb catch in 5 hours)",38,17.236496,19540112WA
1954,9,"Rottnest Island, West End area",4,boat,jewfish,2,33 lb & 24 lb,33,14.968536,19540923WA
1954,,Rottnest Island,4,shore,jewfish,3,"17 lb, 15 lb & 22 lb",22,9.979024,19540708WA
1954,,Rottnest Island,4,shore?,jewfish,1,32 lb,32,14.514944,19540603WA
1954,,"Rottnest Island, Clune Point",4,spearfish,jewfish,1,32.5lb,32.5,14.74174,19540204WA
1954,,"Marmion, Little Island area",3,,jewfish,1,65 lb,65,29.48348,19540624WA
1954,4,"Geraldton, near the lighthouse",,,lobster,1,9.25 lb,,0,19540421WA
1954,,"Rottnest Island, Green Island area",,spearfish,sea kingfish,1,40lb,,0,19540204WA
1954,,"miles off West End, Rottnest Is",,boat,snapper,12,,,0,19540415WA
1954,,"Fremantle, North Mole",,shore,snapper,1,9 lb,,0,19541007WA
1954,,"Rockingham, Waikiki Beach",,shore,snapper,1,32 lb,,0,19540617WA
1954,,"Marmion, Trigg Island area",,boat,spanish mackerel,1,28 lb,,0,19540527WA
1954,,Mandurah,,,stingray,1,43 lb,,0,19541007WA
1954,,"Metro, Cottesloe",,,stingray,1,73 lb,,0,19541007WA
?,,"Rottnest Island, Dyer Island area",4,boat,jewfish,ca 62 caught over 6 weeks. 8 at one time.,"big', ca 20 lb",,0,19541007WA
1955,,Rottnest Island ,4,,jewfish,,34,34,15.422128,19550910DN
1955,,Off marmion,3,dinghy,jewfish,,,28,12.700576,19550716DN
1955,,yanchep,2,,jewfish ,,,15,6.80388,19551119DN
