yyyy,mm,Decade,Location,,Fish,number,size,largest.dhufish,Reference,,,,,,
1952,,,"Rottnest Island, Narrow Neck area",boat,mako,1,"6 ft 4 in, about 120 lb",,19520807WA,,,,,,
1952,,,"Metro, Swanbourne",beach?,mullaway (river kingfish),1,12.5 lb,,19520925WA,,,,,,
1952,,,off Rottnest Island ,boat,sea kingfish,1,46 lb,,19520925WA,,,,,,
1952,,,"off West End, Rottnest",boat,sea kingfish,1,35lb,,19520522WA,,,,,,
1952,,,off Rottnest Island ,boat,snapper,1,11.5 lb,,19520925WA,,,,,,
1952,,,off Rottnest Island ,boat,snapper,12,,,19520925WA,,,,,,
1952,,,"off West End, Rottnest",boat,Snapper,,,,19520522WA,,,,,,
1952,,,"Metro, City Beach",shore ,snapper,1,17.25 lb,,19520515WA,,,,,,
1952,,,"Rockingham, Safety Bay outer reefs",,snapper,several,up to 14 lb,,19520424WA,,,,,,
1952,,,Rockingham/Garden Is channel,,snapper,4,up to 22lb,,19520424WA,,,,,,
1952,,,off Rottnest,boat,Spanish mackerel,5,one of 48lb,,19520522WA,,,,,,
1952,,,Rottnest Island,boat,spanish mackerel,2,38 lb & 40 lb,,19520626WA,,,,,,
1952,,,"Rottnest Island, West End area",boat,spanish mackerel,,largest 53 lb (part of nearly 0.5 ton catch),,19520515WA,,,,,,
1952,,,off Rottnest Island ,boat,white groper,1,10 lb,,19520925WA,,,,,,
1952,,,"Fremantle, North Mole area",,white groper,8,,,19520602WA,,,,,,
1952,,,Yanchep,,,comments about how depleted the fishing is now,,,19520602WA,,,,,,
1953,,,"Rottnest Island, West End",,blue groper,1,37 lb,,19530604WA,,,,,,
1953,,,"Rottnest Island, Thompson Bay",boat,groper,1,55 lb,,19530429WA,,,,,,
1953,,,"Rottnest Island, Thompson Bay",,groper,1,56 lb,,19530429WA,,,,,,
1953,,,Rottnest Island,?,jewfish,11,,,19530826WA,,,,,,
1953,,,off Rottnest Island,boat,jewfish,13,,,19530826WA,,,,,,
1953,,,Rottnest Island area,boat,jewfish,7,one 28 lb and 8 lb,28,19530429WA,,,,,,
1953,,,"Rottnest Island, West End",boat,jewfish,14,2 of 35 lb,35,19530826WA,,,,,,
1953,,,"Rottnest Island, West End area",boat,jewfish,11,on of 28 lb,28,19540415WA,,,,,,
1953,,,"Rottnest Island, Clune Point",,jewfish,1,ca. 50 lb,50,19530429WA,,,,,,
1953,,,"Rottnest Island, Porpoise Bay",boat,Queensland groper,1,"644 lb, 7 ft 6 in",,19530708WA,,,,,,
1953,,,off Rottnest Is,boat,snapper,14,averaging 12 lb,,19530429WA,,,,,,
1953,,,off Rottnest Island,boat,snapper,12,,,19530826WA,,,,,,
1953,,,Rottnest Island,?,spanish mackerel,1,approx 60 lb,,19530826WA,,,,,,
1953,,,off Rottnest Is,boat,spanish mackerel,10,,,19530429WA,,,,,,
1953,,,off Rottnest Is,boat,spanish mackerel,5,,,19530429WA,,,,,,
1953,,,off Rottnest Is,boat,spanish mackerel,4,largest 42 lb,,19530429WA,,,,,,
1953,,,Rottnest Island,boat,spanish mackerel,2,,,19530604WA,,,,,,
1953,,,"Rottnest Island, south side",boat,spanish mackerel,1,28 lb,,19540415WA,,,,,,
1953,,,"off South Cottesloe, just beyond the reef",dinghy rowed from shore,spanish mackerel,"100 over a decade, 20 in the best year",one of 45 lb,,19530527WA,,,,,,
1953,,,Rottnest Island,boat,tunny,1,48 lb,,19530604WA,,,,,,
1953,,,"Rottnest Island, Porpoise Bay",boat,whaler shark,1,300 lb,,19530708WA,,,,,,
1953,,,"Rottnest Island, Porpoise Bay",boat,whaler shark,1,3 ft 6 in,,19530708WA,,,,,,
1954,,,"miles off West End, Rottnest Is",boat,bald-faced groper,6,,,19540415WA,,,,,,
1954,,,Rottnest Island area (8 miles north),boat,bald-faced groper,3,part of 245 lb catch in 5 hours,,19540112WA,,,,,,
1954,6,,"Rottnest Island, north side",shore?,blue groper,1,52.5 lb,,19540603WA,,,,,,
1954,,,Marmion Reef,spearfish,crayfish,1,8.5 lb,,19541221WA,,,,,,
1954,,,Rottnest Island,spearfish,groper,3,largest 44.5lb,,19540204WA,,,,,,
1954,,,"miles off West End, Rottnest Is",boat,jewfish,43 in four days,total about 450 lb,,19540415WA,,,,,,
1954,,,off Scarborough,boat,jewfish,3,18 lb,18,19540527WA,,,,,,
1954,,,Rottnest Island,boat,jewfish,1,38 lb,38,19540415WA,,,,,,
1954,,,Rottnest Island,boat,jewfish,2,45 lb & 40 lb,45,19540624WA,,,,,,
1954,,,Rottnest Island area (8 miles north),boat,jewfish,14,"18 lb, 38 lb, 35 lb, 32 lb (part of 245 lb catch in 5 hours)",38,19540112WA,,,,,,
1954,9,,"Rottnest Island, West End area",boat,jewfish,2,33 lb & 24 lb,33,19540923WA,,,,,,
1954,,,Rottnest Island,shore,jewfish,3,"17 lb, 15 lb & 22 lb",22,19540708WA,,,,,,
1954,,,Rottnest Island,shore?,jewfish,1,32 lb,32,19540603WA,,,,,,
1954,,,"Rottnest Island, Clune Point",spearfish,jewfish,1,32.5lb,32.5,19540204WA,,,,,,
1954,,,"Marmion, Little Island area",,jewfish,1,65 lb,65,19540624WA,,,,,,
1954,4,,"Geraldton, near the lighthouse",,lobster,1,9.25 lb,,19540421WA,,,,,,
1954,,,"Rottnest Island, Green Island area",spearfish,sea kingfish,1,40lb,,19540204WA,,,,,,
1954,,,"miles off West End, Rottnest Is",boat,snapper,12,,,19540415WA,,,,,,
1954,,,"Fremantle, North Mole",shore,snapper,1,9 lb,,19541007WA,,,,,,
1954,,,"Rockingham, Waikiki Beach",shore,snapper,1,32 lb,,19540617WA,,,,,,
1954,,,"Marmion, Trigg Island area",boat,spanish mackerel,1,28 lb,,19540527WA,,,,,,
1954,,,Mandurah,,stingray,1,43 lb,,19541007WA,,,,,,
1954,,,"Metro, Cottesloe",,stingray,1,73 lb,,19541007WA,,,,,,
?,,,"Rottnest Island, Dyer Island area",boat,jewfish,ca 62 caught over 6 weeks. 8 at one time.,"big', ca 20 lb",,19541007WA,,,,,,
